,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-19 09:15:00+05:30,291.7,291.7,223.05,229.2,16950,4200,,,0.06,False
1,2021-04-19 09:20:00+05:30,227.8,229.2,201.8,227.5,32550,16650,,,0.06,False
2,2021-04-19 09:25:00+05:30,226.35,233.4,214.3,221.05,42450,15225,,291.7,0.06,True
3,2021-04-19 09:30:00+05:30,218.05,218.95,204.25,208.7,43800,17325,,287.056,0.06,False
4,2021-04-19 09:35:00+05:30,208.7,211.0,198.9,200.25,13275,16800,,277.11928,0.12,False
5,2021-04-19 09:40:00+05:30,200.25,200.65,183.05,189.5,62850,42750,,263.0398096,0.18,False
6,2021-04-19 09:45:00+05:30,188.0,194.8,179.9,192.05,40275,54300,,247.04184768000002,0.2,False
7,2021-04-19 09:50:00+05:30,189.75,199.7,189.6,191.65,32625,55425,,233.61347814400003,0.2,False
8,2021-04-19 09:55:00+05:30,191.65,207.3,190.75,205.35,25200,59250,,222.87078251520003,0.2,False
9,2021-04-19 10:00:00+05:30,205.95,208.4,192.2,208.4,18675,59175,,214.27662601216002,0.2,False
10,2021-04-19 10:05:00+05:30,208.4,216.25,199.0,213.6,43425,75675,179.9,,0.2,True
11,2021-04-19 10:10:00+05:30,213.6,230.9,208.3,227.2,33750,72600,182.08100000000002,,0.06,False
12,2021-04-19 10:15:00+05:30,226.9,228.4,201.5,203.0,28950,72225,187.93928000000002,,0.12,False
13,2021-04-19 10:20:00+05:30,203.0,212.0,197.9,209.3,12975,69825,193.09456640000002,,0.12,False
14,2021-04-19 10:25:00+05:30,208.8,221.0,208.8,213.4,18300,71250,197.63121843200003,,0.12,False
15,2021-04-19 10:30:00+05:30,213.4,237.5,208.55,231.45,60975,78150,197.9,,0.12,False
16,2021-04-19 10:35:00+05:30,231.45,249.7,224.0,248.4,31725,91425,205.028,,0.18,False
17,2021-04-19 10:40:00+05:30,248.4,248.6,226.4,230.65,40500,90075,208.55,,0.2,False
18,2021-04-19 10:45:00+05:30,230.65,238.0,223.85,232.7,11550,91725,216.78,,0.2,False
19,2021-04-19 10:50:00+05:30,233.45,244.0,230.0,240.55,14475,97350,223.364,,0.2,False
20,2021-04-19 10:55:00+05:30,240.55,246.3,234.0,243.45,11475,97350,223.85,,0.2,False
