,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-05-03 09:15:00+05:30,326.65,358.7,313.4,313.95,41100,162150,,,0.06,False
1,2021-05-03 09:20:00+05:30,315.2,336.6,296.8,296.8,41250,150675,,,0.06,False
2,2021-05-03 09:25:00+05:30,296.8,312.05,279.7,280.6,13275,148875,,358.7,0.06,True
3,2021-05-03 09:30:00+05:30,283.2,297.4,280.6,290.75,9000,148050,,353.96,0.06,False
4,2021-05-03 09:35:00+05:30,291.25,303.0,284.75,287.05,18000,145575,,349.5044,0.06,False
5,2021-05-03 09:40:00+05:30,287.05,290.0,258.45,264.55,14175,137250,,345.316136,0.06,False
6,2021-05-03 09:45:00+05:30,264.55,271.95,249.95,258.15,15000,137175,,334.89219968,0.12,False
7,2021-05-03 09:50:00+05:30,258.15,263.35,254.6,259.0,6150,138450,,319.60260373759996,0.18,False
8,2021-05-03 09:55:00+05:30,259.0,272.25,253.55,263.25,5250,137550,,307.06513506483196,0.18,False
9,2021-05-03 10:00:00+05:30,263.25,265.15,256.15,265.15,4500,137775,,296.7844107531622,0.18,False
10,2021-05-03 10:05:00+05:30,265.15,274.0,256.0,267.8,6825,140550,,288.354216817593,0.18,False
11,2021-05-03 10:10:00+05:30,267.8,272.9,259.4,259.4,6225,138300,,281.4414577904263,0.18,False
12,2021-05-03 10:15:00+05:30,259.4,270.95,254.5,270.95,9675,138525,,275.7729953881495,0.18,False
13,2021-05-03 10:20:00+05:30,270.95,280.7,269.55,274.6,9675,139650,249.95,,0.18,True
14,2021-05-03 10:25:00+05:30,274.6,284.25,271.75,273.15,8550,138000,251.795,,0.06,False
15,2021-05-03 10:30:00+05:30,273.15,279.35,264.9,264.9,7500,137100,255.68959999999998,,0.12,False
16,2021-05-03 10:35:00+05:30,264.9,270.55,237.3,240.5,10650,135900,,284.25,0.12,True
17,2021-05-03 10:40:00+05:30,240.5,241.65,229.4,233.0,12300,138825,,281.433,0.06,False
18,2021-05-03 10:45:00+05:30,233.0,233.9,220.5,233.1,11100,140250,,275.18904,0.12,False
19,2021-05-03 10:50:00+05:30,233.1,247.75,232.3,246.4,9300,144000,,265.3450128,0.18,False
20,2021-05-03 10:55:00+05:30,246.4,257.9,244.2,250.75,8775,141225,220.5,,0.18,True
21,2021-05-03 11:00:00+05:30,250.75,268.95,248.5,260.0,9000,142050,222.744,,0.06,False
22,2021-05-03 11:05:00+05:30,260.0,264.2,250.55,252.15,2550,143775,228.28872,,0.12,False
23,2021-05-03 11:10:00+05:30,252.15,263.65,252.15,253.75,3000,143400,233.1680736,,0.12,False
24,2021-05-03 11:15:00+05:30,253.75,262.0,247.0,253.15,3900,143175,237.461904768,,0.12,False
25,2021-05-03 11:20:00+05:30,253.15,257.4,248.15,257.0,4125,143325,241.24047619584002,,0.12,False
26,2021-05-03 11:25:00+05:30,257.0,257.0,241.0,250.1,4800,142200,,268.95,0.12,True
27,2021-05-03 11:30:00+05:30,250.1,262.6,250.1,261.3,5850,145425,,267.27299999999997,0.06,False
28,2021-05-03 11:35:00+05:30,261.3,262.45,253.55,256.75,5250,145350,,265.69662,0.06,False
29,2021-05-03 11:40:00+05:30,256.75,261.0,249.6,261.0,3975,144750,,264.2148228,0.06,False
30,2021-05-03 11:45:00+05:30,261.0,273.0,260.45,261.9,7275,143550,241.0,,0.06,True
31,2021-05-03 11:50:00+05:30,261.9,263.1,252.65,255.6,5850,143700,242.92,,0.06,False
32,2021-05-03 11:55:00+05:30,253.5,257.4,244.6,246.8,7350,141750,,273.0,0.06,True
33,2021-05-03 12:00:00+05:30,246.8,248.05,237.8,245.5,7425,140175,,271.296,0.06,False
34,2021-05-03 12:05:00+05:30,245.5,251.0,240.0,244.9,4950,141525,,267.27648,0.12,False
35,2021-05-03 12:10:00+05:30,244.9,244.9,235.4,239.3,3375,141000,,263.7393024,0.12,False
36,2021-05-03 12:15:00+05:30,238.55,244.45,235.8,244.15,12075,143850,,258.63822796799997,0.18,False
37,2021-05-03 12:20:00+05:30,244.15,250.25,239.05,249.35,3975,145725,,254.45534693375998,0.18,False
38,2021-05-03 12:25:00+05:30,249.35,255.45,248.0,251.05,7350,147525,235.4,,0.18,True
39,2021-05-03 12:30:00+05:30,251.05,251.05,245.0,245.0,9600,146775,236.603,,0.06,False
40,2021-05-03 12:35:00+05:30,245.0,257.75,245.0,255.1,4050,146100,237.73382,,0.06,False
41,2021-05-03 12:40:00+05:30,255.1,261.2,251.15,254.1,5400,146325,240.1357616,,0.12,False
42,2021-05-03 12:45:00+05:30,254.1,256.05,245.4,250.2,1500,147450,243.92732451199998,,0.18,False
43,2021-05-03 12:50:00+05:30,250.2,253.0,238.25,241.4,6000,147825,,261.2,0.18,True
44,2021-05-03 12:55:00+05:30,241.4,241.4,230.0,235.0,10425,146025,,259.823,0.06,False
45,2021-05-03 13:00:00+05:30,235.0,237.55,223.05,236.15,16650,146325,,256.24424,0.12,False
46,2021-05-03 13:05:00+05:30,236.15,238.9,232.1,235.05,12975,147825,,250.2692768,0.18,False
47,2021-05-03 13:10:00+05:30,235.05,237.35,215.65,218.45,12375,150375,,245.369806976,0.18,False
48,2021-05-03 13:15:00+05:30,218.45,238.45,211.4,237.6,32175,154500,,239.4258455808,0.2,False
49,2021-05-03 13:20:00+05:30,238.2,262.75,237.6,245.4,39000,154125,211.4,,0.2,True
50,2021-05-03 13:25:00+05:30,245.4,250.6,237.85,249.25,5025,154050,211.4,,0.06,False
51,2021-05-03 13:30:00+05:30,249.25,256.8,242.0,247.65,7500,153000,214.481,,0.06,False
52,2021-05-03 13:35:00+05:30,247.65,251.15,244.25,250.05,2175,153600,217.37714,,0.06,False
53,2021-05-03 13:40:00+05:30,250.05,250.05,242.5,247.0,8700,152700,220.0995116,,0.06,False
54,2021-05-03 13:45:00+05:30,247.0,255.25,247.0,251.4,3450,151275,222.658540904,,0.06,False
55,2021-05-03 13:50:00+05:30,251.4,254.1,233.0,238.8,6525,149625,225.06402844976,,0.06,False
