,date,open,high,low,close,volume,oi,PSARl_0.06_0.2,PSARs_0.06_0.2,PSARaf_0.06_0.2,PSARr_0.06_0.2
0,2021-04-20 09:15:00+05:30,369.65,369.65,337.8,347.45,4650,38775,,,0.06,False
1,2021-04-20 09:20:00+05:30,347.45,380.3,347.45,378.75,3225,38475,,,0.06,False
2,2021-04-20 09:25:00+05:30,378.75,381.75,373.35,381.05,2025,38775,,369.65,0.06,True
3,2021-04-20 09:30:00+05:30,381.05,381.05,363.0,363.0,450,38550,373.35,,0.06,True
4,2021-04-20 09:35:00+05:30,363.0,363.0,336.5,338.45,1050,38400,,381.05,0.06,True
5,2021-04-20 09:40:00+05:30,338.45,356.25,338.45,356.25,1050,38400,,381.05,0.06,False
6,2021-04-20 09:45:00+05:30,356.25,360.8,343.75,343.75,2100,38250,,378.377,0.06,False
7,2021-04-20 09:50:00+05:30,343.75,348.1,338.5,348.1,675,37725,,375.86438,0.06,False
8,2021-04-20 09:55:00+05:30,348.1,348.1,340.45,343.6,225,37800,,373.5025172,0.06,False
9,2021-04-20 10:00:00+05:30,343.6,343.6,331.6,335.0,525,37650,,371.282366168,0.06,False
10,2021-04-20 10:05:00+05:30,335.0,335.0,323.4,327.05,825,37575,,366.52048222784003,0.12,False
11,2021-04-20 10:10:00+05:30,327.05,332.25,324.25,326.15,675,37350,,358.75879542682884,0.18,False
12,2021-04-20 10:15:00+05:30,326.15,329.15,317.3,329.15,525,37125,,352.39421224999967,0.18,False
13,2021-04-20 10:20:00+05:30,329.15,334.65,329.15,333.35,525,36975,,345.37536979999976,0.2,False
14,2021-04-20 10:25:00+05:30,333.35,335.0,330.35,334.4,525,36825,,339.7602958399998,0.2,False
15,2021-04-20 10:30:00+05:30,334.4,335.95,333.35,333.35,525,36750,317.3,,0.2,True
16,2021-04-20 10:35:00+05:30,334.6,341.0,331.1,341.0,600,36600,318.419,,0.06,False
17,2021-04-20 10:40:00+05:30,341.0,341.0,341.0,341.0,0,36600,321.12872,,0.12,False
